,survived,pclass,age,sibsp,parch,fare,adult_male,alone,sex_male,embarked_Q,embarked_S,who_woman
0,0,3,22.0,1,0,2.1102132003465894,True,False,True,False,True,False
1,1,1,38.0,1,0,4.2805931204649,False,False,False,False,False,True
2,1,3,26.0,0,0,2.188856327665703,False,True,False,False,True,True
3,1,1,35.0,1,0,3.9908341858524357,False,False,False,False,True,True
4,0,3,35.0,0,0,2.2027647577118348,True,True,True,False,True,False
5,0,3,23.666666666666668,0,0,2.246892662898172,True,True,True,True,False,False
6,0,1,54.0,0,0,3.967694202798607,True,True,True,False,True,False
7,0,3,2.0,3,1,3.0944457464900235,False,False,True,False,True,False
8,1,3,27.0,0,2,2.495953738718064,False,False,False,False,True,True
9,1,2,14.0,1,0,3.436268471383741,False,False,False,False,False,False
10,1,3,4.0,1,1,2.8735646395797834,False,False,False,False,True,False
11,1,1,58.0,0,0,3.3160025355989236,False,True,False,False,True,True
12,0,3,20.0,0,0,2.2027647577118348,True,True,True,False,True,False
13,0,3,39.0,1,5,3.4742929367327062,True,False,True,False,True,False
14,0,3,14.0,0,0,2.180891922715322,False,True,False,False,True,False
15,1,2,55.0,0,0,2.833213344056216,False,True,False,False,True,True
16,0,3,2.0,4,1,3.405355391810819,False,False,True,True,False,False
17,1,2,30.5,0,0,2.6390573296152584,True,True,True,False,True,False
18,0,3,31.0,1,0,2.9444389791664403,False,False,False,False,True,True
19,1,3,32.5,0,0,2.1071782966514356,False,True,False,False,False,True
20,0,2,35.0,0,0,3.295836866004329,True,True,True,False,True,False
21,1,2,34.0,0,0,2.6390573296152584,True,True,True,False,True,False
22,1,3,15.0,0,0,2.2004637699272855,False,True,False,True,False,False
23,1,1,28.0,0,0,3.597312260588446,True,True,True,False,True,False
24,0,3,8.0,3,1,3.0944457464900235,False,False,False,False,True,False
25,1,3,38.0,1,5,3.4777725458882283,False,False,False,False,True,True
26,0,3,32.5,0,0,2.1071782966514356,True,True,True,False,False,False
27,0,1,19.0,3,2,5.575949103146316,True,False,True,False,True,False
28,1,3,24.666666666666668,0,0,2.1837114628556327,False,True,False,True,False,True
29,0,3,31.333333333333332,0,0,2.1855792552411137,True,True,True,False,True,False
30,0,1,40.0,0,0,3.357621598945279,True,True,True,False,False,False
31,1,1,26.973333333333333,1,0,4.993969182787072,False,False,False,False,False,True
32,1,3,36.166666666666664,0,0,2.169053700369523,False,True,False,True,False,True
33,0,2,66.0,0,0,2.4423470353692043,True,True,True,False,True,False
34,0,1,28.0,1,0,4.420896324687287,True,False,True,False,False,False
35,0,1,42.0,1,0,3.970291913552122,True,False,True,False,True,False
36,1,3,24.666666666666668,0,0,2.1076888046179385,True,True,True,False,False,False
37,0,3,21.0,0,0,2.2027647577118348,True,True,True,False,True,False
38,0,3,18.0,2,0,2.9444389791664403,False,False,False,False,True,True
39,1,3,14.0,1,0,2.5048481563289,False,False,False,False,False,False
40,0,3,40.0,1,0,2.348991465808201,False,False,False,False,True,True
41,0,2,27.0,1,0,3.091042453358316,False,False,False,False,True,True
42,0,3,31.333333333333332,0,0,2.1855792552411137,True,True,True,False,False,False
43,1,2,3.0,1,2,3.7513658711253766,False,False,False,False,False,False
44,1,3,19.0,0,0,2.1837114628556327,False,True,False,True,False,True
45,0,3,25.333333333333332,0,0,2.2027647577118348,True,True,True,False,True,False
46,0,3,30.666666666666668,1,0,2.803360380906535,True,False,True,True,False,False
47,1,3,36.166666666666664,0,0,2.169053700369523,False,True,False,True,False,True
48,0,3,4.333333333333333,2,0,3.1214482048688246,True,False,True,False,False,False
49,0,3,18.0,1,0,2.9338568698359038,False,False,False,False,True,True
50,0,3,7.0,4,1,3.705920919968788,False,False,True,False,True,False
51,0,3,21.0,0,0,2.174751721484161,True,True,True,False,True,False
52,1,1,49.0,1,0,4.353230991152628,False,False,False,False,False,True
53,1,2,29.0,1,0,3.295836866004329,False,False,False,False,True,True
54,0,1,65.0,0,1,4.142804513146981,True,False,True,False,False,False
55,1,1,43.0,0,0,3.597312260588446,True,True,True,False,True,False
56,1,2,21.0,0,0,2.4423470353692043,False,True,False,False,True,True
57,0,3,28.5,0,0,2.1076888046179385,True,True,True,False,False,False
58,1,2,5.0,1,2,3.3586377672433594,False,False,False,False,True,False
59,0,3,11.0,5,2,3.8691155044168695,False,False,True,False,True,False
60,0,3,22.0,0,0,2.1076888046179385,True,True,True,False,False,False
61,1,1,38.0,0,0,4.394449154672439,False,True,False,False,False,True
62,0,1,45.0,1,0,4.436455632600354,True,False,True,False,True,False
63,0,3,4.0,3,2,3.3638415951183864,False,False,True,False,True,False
64,0,1,38.0,0,0,3.357621598945279,True,True,True,False,False,False
65,1,3,27.0,1,1,2.7878344138303452,True,False,True,False,False,False
66,1,2,29.0,0,0,2.4423470353692043,False,True,False,False,True,True
67,0,3,19.0,0,0,2.2146605719425225,True,True,True,False,True,False
68,1,3,17.0,4,2,2.188856327665703,False,False,False,False,True,True
69,0,3,26.0,2,0,2.2682524139135403,True,False,True,False,True,False
70,0,2,32.0,0,0,2.4423470353692043,True,True,True,False,True,False
71,0,3,16.0,5,2,3.8691155044168695,False,False,False,False,True,True
